id,target,reading,english,part_of_speech,topic,source_id,source_entry,level_basis
ja-n5-00001,会う,あう,1. to meet; to encounter; to see | 2. to have an accident; to have a bad experience [word usually written using kana alone],Godan verb with 'u' ending; intransitive verb,general-language,jmdict-waller,JMdict:1198180;waller-n5.csv:line-2,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00002,青,あお,"1. blue; azure | 2. green (mostly in compound words and in ref. to fruits, plants and traffic lights) | 3. green light (traffic) [abbreviation] | 4. black (horse coat color) | 5. blue 5-point card [hanafuda; abbreviation] | 6. immature; unripe; young",noun (common) (futsuumeishi); nouns which may take the genitive case particle 'no'; prefix,general-language,jmdict-waller,JMdict:1381380;waller-n5.csv:line-3,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00003,青い,あおい,"1. blue; azure | 2. green (mostly archaic or in ref. to fruits, vegetables and traffic lights) | 3. pale (facial color); gray; grey | 4. unripe; inexperienced",adjective (keiyoushi),general-language,jmdict-waller,JMdict:1381390;waller-n5.csv:line-4,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00004,赤,あか,"1. red; crimson; scarlet | 2. red-containing colour (e.g. brown, pink, orange) | 3. Red (i.e. communist) [colloquial] | 4. red light (traffic) [abbreviation] | 5. red ink (i.e. in finance or proof-reading); (in) the red [abbreviation] | 6. complete; total; perfect; obvious | 7. copper [abbreviation] | 8. red 5-point card [hanafuda; abbreviation]",noun (common) (futsuumeishi); nouns which may take the genitive case particle 'no',general-language,jmdict-waller,JMdict:2013900;waller-n5.csv:line-5,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00005,赤い,あかい,1. red; crimson; scarlet; vermilion | 2. Red; communist [colloquial],adjective (keiyoushi),general-language,jmdict-waller,JMdict:1383240;waller-n5.csv:line-6,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00006,明い,あかるい,"1. light; bright; well-lit; well-lighted | 2. bright (colour) | 3. cheerful; bright; spirited; sunny (e.g. disposition) | 4. bright (future, prospects, etc.); rosy; encouraging; promising | 5. knowledgeable (about); familiar (with); well versed (in); well acquainted (with) | 6. fair (e.g. politics); clean; impartial",adjective (keiyoushi),general-language,jmdict-waller,JMdict:1532350;waller-n5.csv:line-7,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00007,秋,あき,1. autumn; fall,noun (common) (futsuumeishi); adverb (fukushi),general-language,jmdict-waller,JMdict:1332650;waller-n5.csv:line-8,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00008,開く,あく,"1. to open (e.g. doors) | 2. to open (e.g. business, etc.) | 3. to be empty | 4. to be vacant; to be available; to be free | 5. to be open (e.g. neckline, etc.) | 6. to have been opened (of one's eyes, mouth, etc.) | 7. to come to an end | 8. to open (one's eyes, mouth, etc.) | 9. to have a hole; to form a gap; to have an interval (between events)",Godan verb with 'ku' ending; intransitive verb; transitive verb,general-language,jmdict-waller,JMdict:1586270;waller-n5.csv:line-9,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00009,開ける,あける,"1. to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock | 2. to open (for business, etc.) | 3. to empty; to remove; to make space; to make room | 4. to move out; to clear out | 5. to be away from (e.g. one's house); to leave (temporarily) | 6. to dawn; to grow light | 7. to end (of a period, season) | 8. to begin (of the New Year) | 9. to leave (one's schedule) open; to make time (for) | 10. to make (a hole); to open up (a hole)",Ichidan verb; transitive verb; intransitive verb,home-and-daily-life,jmdict-waller,JMdict:1202450;waller-n5.csv:line-10,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00010,上げる,あげる,"1. to raise; to elevate | 2. to move something (to a higher place); to put onto (e.g. a shelf) | 3. to increase (price, quality, status, etc.); to raise (a wage) | 4. to show someone (into a room); to let in (e.g. a guest) | 5. to give [polite (teineigo) language; word usually written using kana alone] | 6. to enrol (one's child in school); to enroll; to send (one's child; e.g. to college) | 7. to develop (talent, skill, etc.); to improve | 8. to earn (something desirable); to achieve (e.g. a good result); to obtain | 9. to promote (someone) | 10. to complete; to finish | 11. to make (a loud sound); to raise (one's voice) | 12. to raise (one's gaze); to lift up (one's face); to look up | 13. to do up (one's hair) | 14. to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.) | 15. to praise; to commend; to flatter | 16. to make do (with less expenses than expected); to cover expenses (with a given amount); to set costs | 17. to finish (one's studies); to complete (a lesson); to pass (e.g. a class) | 18. to upload (e.g. an image); to publish (on the internet); to post | 19. to raise someone's spirits; to cheer someone up; to enhance a mood [colloquial] | 20. (of the tide) to come in; to rise | 21. to increase (of market price); to rise (of stock prices) [finance] | 22. to vomit; to throw up | 23. to do for (the sake of someone else) [word usually written using kana alone; polite (teineigo) language] (after the -te form of a verb) | 24. to complete ... (after the -masu stem of a verb) | 25. to humbly do ... [humble (kenjougo) language] (after the -masu stem of a humble verb to increase the level of humility)",Ichidan verb; transitive verb; intransitive verb; auxiliary verb; suffix,general-language,jmdict-waller,JMdict:1352320;waller-n5.csv:line-11,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00011,朝,あさ,1. morning | 2. breakfast,noun (common) (futsuumeishi); adverb (fukushi),time-and-quantity,jmdict-waller,JMdict:1428280;waller-n5.csv:line-12,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00012,朝御飯,あさごはん,1. breakfast,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1586330;waller-n5.csv:line-13,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n5-00013,あさって,あさって,1. day after tomorrow | 2. wrong (e.g. direction),noun (common) (futsuumeishi); adverb (fukushi); nouns which may take the genitive case particle 'no',time-and-quantity,jmdict-waller,JMdict:1584640;waller-n5.csv:line-14,Community estimate: Waller via stephenmk; not an official JLPT word list
